browser,url,branch,user_name,Actor,form_name,id,cif,process_name,step,start_time,end_time,duration,process_total_time,process_avg_time,day_total_time,day_avg_time
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,146539863,2809243,Add new,1,01/27/2021_03:11:38,'01/27/2021_03:13:01,82.433,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#hrefTAB_REG_SERVICE,'065,TEST01,Maker,STDCIF1,146539863,2809243,Save,2,01/27/2021_03:13:01,'01/27/2021_03:13:01,1.222,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539863,2809243,Check,3,'01/27/2021_03:13:02,'01/27/2021_03:13:02,1.092,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539867,2809243,Accept to Proceed,4,01/27/2021_03:13:03,01/27/2021_03:13:03,0.484,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539867,2809243,Save successfully,5,01/27/2021_03:13:03,01/27/2021_03:13:06,2.909,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539863,2809243,OK,6,01/27/2021_03:13:06,01/27/2021_03:13:07,1.995,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539863,2809243,Print the_TK,7,01/27/2021_03:13:07,N/A,0,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,146539867,2809244,Add new,1,'01/27/2021_03:13:57,'01/27/2021_03:14:52,54.804,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#hrefTAB_PERSONAL,'065,TEST01,Maker,STDCIF1,146539867,2809244,Save,2,'01/27/2021_03:14:52,'01/27/2021_03:14:53,1.187,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539867,2809244,Check,3,'01/27/2021_03:14:53,'01/27/2021_03:14:54,1.305,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539867,2809244,Accept to Proceed,4,'01/27/2021_03:14:54,'01/27/2021_03:14:55,0.484,,,,
Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet#,'065,TEST01,Maker,STDCIF1,146539867,2809244,Save successfully,5,'01/27/2021_03:14:55,'01/27/2021_03:14:58,2.909,,,,
