browser,url,branch,user_name,Actor,form_name,id,cif,process_name,step,start_time,end_time,duration
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,"Add new",1,1610951783,1611030296,78513
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,Save,2,1611030296,1611031142,846
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,Check,3,1611031142,1611031204,62
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,"Accept to Proceed",4,1611031204,1611036023,4819
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,"Save successfully",5,1611036023,1611037710,1687
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,OK,6,1611037710,1611038904,1194
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,342067588,1949412,"Print form_TK_TV",7,1611038904,N/A,0
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,"Add new",1,1611282899,1611337742,54843
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,Save,2,1611337742,1611339076,1334
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,Check,3,1611339076,1611340762,1686
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,"Accept to Proceed",4,1611340762,1611341082,320
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,"Save successfully",5,1611341082,1611341369,287
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,OK,6,1611341369,1611345618,4249
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,150737675,7190027,"Print the_TK",7,1611345618,N/A,0
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,"Add new",1,1611127225,1611182202,54977
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,Save,2,1611182202,1611186028,3826
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,Check,3,1611186028,1611187646,1618
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,"Accept to Proceed",4,1611187646,1611190552,2906
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,"Save successfully",5,1611190552,1611191967,1415
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,OK,6,1611191967,1611192024,57
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST01,Maker,STDCIF1,659615402,9904512,"Print the_chu_ky",7,1611192024,N/A,0
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,414388029,7289819,"Add new",1,1611202351,1611277230,74879
"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0",http://10.1.28.156:7003/FCJNeoWeb/SMSStartLogServlet,'065,TEST02,Maker,STDCIF1,414388029,7289819,Save,2,1611277230,1611279546,2316
